Code,Area,Period,Mean_Price,Median_Price
K04000001,England And Wales,Year ending Jun 1997,74676.88571,58999.0
E09000001,City of London,Year ending Sep 1997,149608.09412,130000.0
E09000002,Barking and Dagenham,Year ending Sep 1997,54582.347373,52000.0
E09000003,Barnet,Year ending Sep 1997,128540.17033,95000.0
E09000004,Bexley,Year ending Sep 1997,74478.969697,70000.0
E09000005,Brent,Year ending Sep 1997,91094.790832,80000.0
E09000006,Bromley,Year ending Sep 1997,102123.07963,84500.0
E09000007,Camden,Year ending Sep 1997,182974.93903,140000.0
E09000008,Croydon,Year ending Sep 1997,81043.963225,69000.0
E09000009,Ealing,Year ending Sep 1997,108733.31582,87000.0
E09000010,Enfield,Year ending Sep 1997,92547.014659,76000.0
E09000011,Greenwich,Year ending Sep 1997,80709.547731,64995.0
E09000012,Hackney,Year ending Sep 1997,84634.260044,72997.5
E09000013,Hammersmith and Fulham,Year ending Sep 1997,168180.43873,132000.0
E09000014,Haringey,Year ending Sep 1997,106952.36447,78000.0
E09000015,Harrow,Year ending Sep 1997,104197.83598,90000.0
E09000016,Havering,Year ending Sep 1997,84084.434481,72500.0
E09000017,Hillingdon,Year ending Sep 1997,90255.511474,77500.0
E09000018,Hounslow,Year ending Sep 1997,98623.159314,77500.0
E09000019,Islington,Year ending Sep 1997,139720.49565,115000.0
E09000020,Kensington and Chelsea,Year ending Sep 1997,331419.71089,218000.0
E09000021,Kingston upon Thames,Year ending Sep 1997,110878.61794,90000.0
E09000022,Lambeth,Year ending Sep 1997,104761.48069,83000.0
E09000023,Lewisham,Year ending Sep 1997,70291.177809,62000.0
E09000024,Merton,Year ending Sep 1997,111618.02988,83500.0
E09000025,Newham,Year ending Sep 1997,55469.673239,54995.0
E09000026,Redbridge,Year ending Sep 1997,84382.304114,75000.0
E09000027,Richmond upon Thames,Year ending Sep 1997,165748.87031,129950.0
E09000028,Southwark,Year ending Sep 1997,99397.15061,80500.0
E09000029,Sutton,Year ending Sep 1997,85119.116309,73000.0
E09000030,Tower Hamlets,Year ending Sep 1997,105042.59983,89995.0
E09000031,Waltham Forest,Year ending Sep 1997,65158.806211,60000.0
E09000032,Wandsworth,Year ending Sep 1997,132635.93254,104150.0
E09000033,Westminster,Year ending Sep 1997,219941.5805,157000.0
E12000001,North East,Year ending Sep 1997,53361.294244,46500.0
E12000002,North West,Year ending Sep 1997,57437.297467,48500.0
E12000003,Yorkshire And The Humber,Year ending Sep 1997,57028.985099,48500.0
E12000004,East Midlands,Year ending Sep 1997,59092.289353,49950.0
E12000005,West Midlands,Year ending Sep 1997,64744.508076,54000.0
E12000006,East of England,Year ending Sep 1997,76218.280218,61995.0
E12000007,London,Year ending Sep 1997,115951.86873,83500.0
E12000008,South East,Year ending Sep 1997,91842.91921,72500.0
E12000009,South West,Year ending Sep 1997,72681.012915,59950.0
E92000001,England,Year ending Sep 1997,77693.020154,59995.0
W92000004,Wales,Year ending Sep 1997,54115.654727,47000.0
K04000001,England And Wales,Year ending Sep 1997,76673.159947,59950.0
E09000001,City of London,Year ending Dec 1997,156417.90244,135000.0
E09000002,Barking and Dagenham,Year ending Dec 1997,56221.504298,53500.0
E09000003,Barnet,Year ending Dec 1997,135580.27433,100000.0
E09000004,Bexley,Year ending Dec 1997,75483.820329,71000.0
E09000005,Brent,Year ending Dec 1997,96498.790467,83500.0
E09000006,Bromley,Year ending Dec 1997,105026.84279,86000.0
E09000007,Camden,Year ending Dec 1997,193421.18209,145000.0
E09000008,Croydon,Year ending Dec 1997,83342.673945,71000.0
E09000009,Ealing,Year ending Dec 1997,112581.77562,90000.0
E09000010,Enfield,Year ending Dec 1997,95077.746837,78000.0
E09000011,Greenwich,Year ending Dec 1997,82966.20912,66000.0
E09000012,Hackney,Year ending Dec 1997,89193.268091,76997.5
E09000013,Hammersmith and Fulham,Year ending Dec 1997,176577.12588,136000.0
E09000014,Haringey,Year ending Dec 1997,106793.93514,81000.0
E09000015,Harrow,Year ending Dec 1997,109330.21404,94159.0
E09000016,Havering,Year ending Dec 1997,84998.262172,74000.0
E09000017,Hillingdon,Year ending Dec 1997,93054.643307,79925.0
E09000018,Hounslow,Year ending Dec 1997,101767.51906,80000.0
E09000019,Islington,Year ending Dec 1997,144903.02449,118875.0
E09000020,Kensington and Chelsea,Year ending Dec 1997,347239.7556,225000.0
E09000021,Kingston upon Thames,Year ending Dec 1997,114267.75199,94950.0
E09000022,Lambeth,Year ending Dec 1997,106314.63923,85000.0
E09000023,Lewisham,Year ending Dec 1997,73183.389236,64000.0
E09000024,Merton,Year ending Dec 1997,113866.41276,84950.0
E09000025,Newham,Year ending Dec 1997,57379.846939,56000.0
E09000026,Redbridge,Year ending Dec 1997,86048.448424,76375.0
E09000027,Richmond upon Thames,Year ending Dec 1997,172728.80894,136000.0
E09000028,Southwark,Year ending Dec 1997,103514.55791,85000.0
E09000029,Sutton,Year ending Dec 1997,88169.152416,75000.0
E09000030,Tower Hamlets,Year ending Dec 1997,110807.33081,95000.0
E09000031,Waltham Forest,Year ending Dec 1997,67019.701018,62000.0
E09000032,Wandsworth,Year ending Dec 1997,137915.03901,108000.0
E09000033,Westminster,Year ending Dec 1997,228494.32299,160950.0
E12000001,North East,Year ending Dec 1997,53907.631074,46995.0
E12000002,North West,Year ending Dec 1997,58285.864791,49000.0
E12000003,Yorkshire And The Humber,Year ending Dec 1997,57496.269382,48950.0
E12000004,East Midlands,Year ending Dec 1997,60145.236984,50000.0
E12000005,West Midlands,Year ending Dec 1997,65715.655737,54500.0
E12000006,East of England,Year ending Dec 1997,78314.734708,63500.0
E12000007,London,Year ending Dec 1997,119760.66832,86000.0
E12000008,South East,Year ending Dec 1997,94317.995336,74500.0
E12000009,South West,Year ending Dec 1997,74458.423956,60000.0
E92000001,England,Year ending Dec 1997,79522.867307,60000.0
W92000004,Wales,Year ending Dec 1997,55074.780115,47950.0
K04000001,England And Wales,Year ending Dec 1997,78460.410823,60000.0
E09000001,City of London,Year ending Mar 1998,213793.93713,147000.0
E09000002,Barking and Dagenham,Year ending Mar 1998,57561.309308,54995.0
E09000003,Barnet,Year ending Mar 1998,139499.45901,104500.0
E09000004,Bexley,Year ending Mar 1998,78094.398444,73000.0
E09000005,Brent,Year ending Mar 1998,99885.664819,85950.0
E09000006,Bromley,Year ending Mar 1998,107770.26399,89000.0
E09000007,Camden,Year ending Mar 1998,198580.35878,147500.0
E09000008,Croydon,Year ending Mar 1998,85292.256144,73500.0
E09000009,Ealing,Year ending Mar 1998,116903.37498,94000.0
E09000010,Enfield,Year ending Mar 1998,97501.280173,80000.0
E09000011,Greenwich,Year ending Mar 1998,83945.782847,68000.0
E09000012,Hackney,Year ending Mar 1998,92477.609731,79950.0
E09000013,Hammersmith and Fulham,Year ending Mar 1998,185300.20348,144800.0
E09000014,Haringey,Year ending Mar 1998,111235.9945,84000.0
E09000015,Harrow,Year ending Mar 1998,113976.87606,97175.0
E09000016,Havering,Year ending Mar 1998,86354.044434,75500.0
E09000017,Hillingdon,Year ending Mar 1998,94838.69645,81000.0
E09000018,Hounslow,Year ending Mar 1998,106306.71713,84000.0
E09000019,Islington,Year ending Mar 1998,149139.7205,123500.0
