Year,Area,Number of Individuals,Mean £,Median £
2018,Yorkshire and The Humber,"2,430,000","30,200","23,300"
2018,East Midlands,"2,260,000","31,000","23,700"
2018,West Midlands,"2,630,000","31,200","23,600"
2018,East of England,"3,090,000","36,800","26,000"
2018,London,"4,260,000","50,100","29,600"
2018,South East,"4,650,000","39,900","27,100"
2018,South West,"2,740,000","32,100","24,400"
2018,,,,
2018,England,"2,660,000","36,200","25,300"
2018,Wales,"1,360,000","28,900","23,200"
2018,Scotland,"2,590,000","32,200","24,600"
2018,Northern Ireland,"777,000","29,200","23,400"
2018,,,,
2018,United Kingdom,"3,160,000","35,400","25,000"
,,,,
2019,City of London,"12,000","128,000","54,200"
2019,Barking and Dagenham,"85,000","29,400","25,700"
2019,Barnet,"192,000","51,600","30,700"
2019,Bexley,"126,000","36,000","28,000"
2019,Brent,"155,000","37,800","26,200"
2019,Bromley,"176,000","48,200","33,700"
2019,Camden,"104,000","96,900","38,200"
2019,Croydon,"184,000","37,800","29,400"
2019,Ealing,"170,000","42,700","28,200"
2019,Enfield,"145,000","39,500","28,300"
2019,Greenwich,"127,000","44,700","30,100"
2019,Hackney,"111,000","47,200","32,400"
2019,Hammersmith and Fulham,"95,000","75,900","35,800"
2019,Haringey,"129,000","48,600","28,300"
2019,Harrow,"130,000","41,500","29,500"
